Unnamed: 0_x,url,condition_x,date_x,Unnamed: 0_y,condition_y,date_y
2656,https://www.medifind.com/conditions/neurofibromatosis/6508/doctors/avery-h-weiss/12903568,Neurofibromatosis,2023-08-01,,,
2657,https://www.medifind.com/conditions/neurofibromatosis/6508/doctors/kevin-c-oeffinger/7228342,Neurofibromatosis,2023-08-01,,,
2658,https://www.medifind.com/conditions/neurofibromatosis/6508/doctors/james-a-swenson/7296474,Neurofibromatosis,2023-08-01,,,
2659,https://www.medifind.com/conditions/neurofibromatosis/6508/doctors/aradhana-kaushal/7908413,Neurofibromatosis,2023-08-01,,,
2679,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/david-a-stevenson/7582875,Neurofibromatosis,2023-08-01,,,
2680,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/douglas-r-stewart/13035580,Neurofibromatosis,2023-08-01,,,
2681,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/nicole-j-ullrich/11326014,Neurofibromatosis,2023-08-01,,,
2682,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/roger-j-packer/9190136,Neurofibromatosis,2023-08-01,,,
2683,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/katherine-a-rauen/8569003,Neurofibromatosis,2023-08-01,,,
2684,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/lu-q-le/10369008,Neurofibromatosis,2023-08-01,,,
2685,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/david-h-gutmann/7877317,Neurofibromatosis,2023-08-01,,,
2686,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/jaishri-o-blakeley/11682759,Neurofibromatosis,2023-08-01,,,
2687,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/tobias-walbert/10163525,Neurofibromatosis,2023-08-01,,,
2688,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/james-h-tonsgard/13076096,Neurofibromatosis,2023-08-01,,,
2689,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/elizabeth-k-schorry/12650793,Neurofibromatosis,2023-08-01,,,
2690,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/justin-t-jordan/7456482,Neurofibromatosis,2023-08-01,,,
2691,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/steven-d-rhodes/10319491,Neurofibromatosis,2023-08-01,,,
2692,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/cynthia-m-hingtgen/11544014,Neurofibromatosis,2023-08-01,,,
2693,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/david-h-viskochil/10840877,Neurofibromatosis,2023-08-01,,,
2694,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/michael-j-fisher/7562464,Neurofibromatosis,2023-08-01,,,
2695,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/scott-r-plotkin/8271238,Neurofibromatosis,2023-08-01,,,
2696,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/bruce-r-korf/8757303,Neurofibromatosis,2023-08-01,,,
2697,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/aerang-v-kim/9457710,Neurofibromatosis,2023-08-01,,,
2698,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/kaleb-h-yohay/12053728,Neurofibromatosis,2023-08-01,,,
2699,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/jean-b-belasco/8233594,Neurofibromatosis,2023-08-01,,,
2700,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/carlos-e-prada/9638118,Neurofibromatosis,2023-08-01,,,
2701,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/jeffrey-c-allen/11019931,Neurofibromatosis,2023-08-01,,,
2702,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/robert-j-spinner/12322877,Neurofibromatosis,2023-08-01,,,
2703,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/miriam-a-bornhorst/11737971,Neurofibromatosis,2023-08-01,,,
2704,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/sepideh-mokhtari/9673674,Neurofibromatosis,2023-08-01,,,
2705,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/robert-s-greenwood/9946024,Neurofibromatosis,2023-08-01,,,
2706,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/pierre-m-giglio/11793825,Neurofibromatosis,2023-08-01,,,
2707,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/robert-a-avery/9747678,Neurofibromatosis,2023-08-01,,,
2708,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/allan-j-belzberg/7540260,Neurofibromatosis,2023-08-01,,,
2709,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/stewart-a-goldman/11913896,Neurofibromatosis,2023-08-01,,,
2710,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/carlos-g-romo/7688556,Neurofibromatosis,2023-08-01,,,
2711,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/grant-t-liu/11278912,Neurofibromatosis,2023-08-01,,,
2712,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/stephanie-n-brosius/12309224,Neurofibromatosis,2023-08-01,,,
2713,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/stephanie-m-morris/9118790,Neurofibromatosis,2023-08-01,,,
2714,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/jason-r-fangusaro/10856369,Neurofibromatosis,2023-08-01,,,
2715,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/christine-a-pratilas/10229696,Neurofibromatosis,2023-08-01,,,
2716,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/john-j-mulvihill/12402868,Neurofibromatosis,2023-08-01,,,
2717,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/mark-w-kieran/7750411,Neurofibromatosis,2023-08-01,,,
2718,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/robert-j-hopkin/11093994,Neurofibromatosis,2023-08-01,,,
2719,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/john-f-de-groot/11113115,Neurofibromatosis,2023-08-01,,,
2720,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/karl-w-staser/13043131,Neurofibromatosis,2023-08-01,,,
2721,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/trent-r-hummel/12929997,Neurofibromatosis,2023-08-01,,,
2722,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/scott-m-lindhorst/11796799,Neurofibromatosis,2023-08-01,,,
2723,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/kavitha-nutakki/7358973,Neurofibromatosis,2023-08-01,,,
2724,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/joseph-t-shieh/9829113,Neurofibromatosis,2023-08-01,,,
2725,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/christopher-l-moertel/10882034,Neurofibromatosis,2023-08-01,,,
2726,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/eric-l-zager/11503728,Neurofibromatosis,2023-08-01,,,
2727,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/nagham-s-al-zubidi/10593989,Neurofibromatosis,2023-08-01,,,
2728,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/roderick-h-rhyant/12161039,Neurofibromatosis,2023-08-01,,,
2729,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/matthias-a-karajannis/8831585,Neurofibromatosis,2023-08-01,,,
2730,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/line-g-jacques/10582732,Neurofibromatosis,2023-08-01,,,
2731,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/david-s-vanmater/11464443,Neurofibromatosis,2023-08-01,,,
2732,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/allan-e-rubenstein/12386031,Neurofibromatosis,2023-08-01,,,
2733,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/thomas-m-bosley/11796714,Neurofibromatosis,2023-08-01,,,
2734,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/sumi-d-jones/12405879,Neurofibromatosis,2023-08-01,,,
2735,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/nicholas-m-boulis/9242308,Neurofibromatosis,2023-08-01,,,
2736,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/mark-d-anderson/12530392,Neurofibromatosis,2023-08-01,,,
2737,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/staci-m-kallish/10935835,Neurofibromatosis,2023-08-01,,,
2738,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/alpa-sidhu/9999710,Neurofibromatosis,2023-08-01,,,
2739,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/nikolas-a-mata-machado/9101664,Neurofibromatosis,2023-08-01,,,
2740,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/verena-staedtke/12406942,Neurofibromatosis,2023-08-01,,,
2741,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/nicole-m-brossier/8588642,Neurofibromatosis,2023-08-01,,,
2742,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/rajesh-k-khanna/12422838,Neurofibromatosis,2023-08-01,,,
2743,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/kien-ninh-i-ly/7241043,Neurofibromatosis,2023-08-01,,,
2744,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/tariq-j-alam/7368977,Neurofibromatosis,2023-08-01,,,
2745,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/marc-p-garfield/7524779,Neurofibromatosis,2023-08-01,,,
2746,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/stefania-maraka/9697583,Neurofibromatosis,2023-08-01,,,
2747,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/nathan-j-robison/13066570,Neurofibromatosis,2023-08-01,,,
2748,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/paul-l-moots/12650526,Neurofibromatosis,2023-08-01,,,
2749,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/joy-e-burke/8395172,Neurofibromatosis,2023-08-01,,,
2750,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/hans-h-shuhaiber/11075870,Neurofibromatosis,2023-08-01,,,
2751,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/peter-b-dragisic/8034771,Neurofibromatosis,2023-08-01,,,
2752,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/joshua-j-gibbons/7730496,Neurofibromatosis,2023-08-01,,,
2753,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/alyssa-t-reddy/9043993,Neurofibromatosis,2023-08-01,,,
2754,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/david-j-dolson/10925259,Neurofibromatosis,2023-08-01,,,
2755,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/joel-m-charrow/11556889,Neurofibromatosis,2023-08-01,,,
2756,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/dawit-g-aregawi/9923180,Neurofibromatosis,2023-08-01,,,
2757,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/marco-tartaglia/8347058,Neurofibromatosis,2023-08-01,,,
2758,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/hendrikus-g-krouwer/10659224,Neurofibromatosis,2023-08-01,,,
2759,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/fernando-santos-pinheiro/13081243,Neurofibromatosis,2023-08-01,,,
2760,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/kathy-l-gardner/10000397,Neurofibromatosis,2023-08-01,,,
2761,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/timothy-r-gershon/9345423,Neurofibromatosis,2023-08-01,,,
2762,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/kent-a-robertson/9301732,Neurofibromatosis,2023-08-01,,,
2763,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/benjamin-e-lawler/9688239,Neurofibromatosis,2023-08-01,,,
2764,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/steven-d-chang/12465461,Neurofibromatosis,2023-08-01,,,
2765,https://www.medifind.com/conditions/neurofibromatosis-type-1-nf1/5459/doctors/yasushi-y-kisanuki/12140591,Neurofibromatosis,2023-08-01,,,
